Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Venom,1,Pizza hut venom collab,https://trends.google.ca/trends/explore?q=pizza+hut+venom+collab&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Venom,2,Pizza hut venom pizza,https://trends.google.ca/trends/explore?q=pizza+hut+venom+pizza&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Venom,3,Pizza hut venom,https://trends.google.ca/trends/explore?q=pizza+hut+venom&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Venom,4,Agent venom decks,https://trends.google.ca/trends/explore?q=agent+venom+decks&date=now+7-d&geo=US,"+4,950%",217,Franchise,2024-10-03
Venom,5,Agent venom deck,https://trends.google.ca/trends/explore?q=agent+venom+deck&date=now+7-d&geo=US,"+4,450%",217,Franchise,2024-10-03
Venom,6,Venom pizza,https://trends.google.ca/trends/explore?q=venom+pizza&date=now+7-d&geo=US,"+1,250%",217,Franchise,2024-10-03
Venom,7,Marvel snap agent venom,https://trends.google.ca/trends/explore?q=marvel+snap+agent+venom&date=now+7-d&geo=US,"+1,100%",217,Franchise,2024-10-03
Venom,8,Andy serkis,https://trends.google.ca/trends/explore?q=andy+serkis&date=now+7-d&geo=US,+350%,217,Franchise,2024-10-03
Venom,9,Juno temple,https://trends.google.ca/trends/explore?q=juno+temple&date=now+7-d&geo=US,+190%,217,Franchise,2024-10-03
Venom,10,Regal,https://trends.google.ca/trends/explore?q=regal&date=now+7-d&geo=US,+140%,217,Franchise,2024-10-03
Venom,11,Venom the last dance rating,https://trends.google.ca/trends/explore?q=venom+the+last+dance+rating&date=now+7-d&geo=US,+140%,217,Franchise,2024-10-03
Venom,12,Regal cinemas,https://trends.google.ca/trends/explore?q=regal+cinemas&date=now+7-d&geo=US,+140%,217,Franchise,2024-10-03
Venom,13,How many venom movies are there,https://trends.google.ca/trends/explore?q=how+many+venom+movies+are+there&date=now+7-d&geo=US,+100%,217,Franchise,2024-10-03
Venom,14,Agent venom,https://trends.google.ca/trends/explore?q=agent+venom&date=now+7-d&geo=US,+90%,217,Franchise,2024-10-03
Venom,15,Watch venom 2018,https://trends.google.ca/trends/explore?q=watch+venom+2018&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
Venom,16,Venom 2 streaming service,https://trends.google.ca/trends/explore?q=venom+2+streaming+service&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
Venom,17,Venom rating,https://trends.google.ca/trends/explore?q=venom+rating&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-03
Venom,18,Venom streaming service,https://trends.google.ca/trends/explore?q=venom+streaming+service&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-03
Venom,19,Venom movies in order,https://trends.google.ca/trends/explore?q=venom+movies+in+order&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-03
Venom,20,Smile 2,https://trends.google.ca/trends/explore?q=smile+2&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-03
Venom,21,Movies coming out in october 2024,https://trends.google.ca/trends/explore?q=movies+coming+out+in+october+2024&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-03
Venom,22,The last dance venom,https://trends.google.ca/trends/explore?q=the+last+dance+venom&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-03
