Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Warhammer,1,Warhammer community not working,https://trends.google.ca/trends/explore?q=warhammer+community+not+working&date=now+7-d&geo=US,Breakout,217,Franchise,2024-10-03
Warhammer,2,Warhammer 40k space marine 2 patch notes,https://trends.google.ca/trends/explore?q=warhammer+40k+space+marine+2+patch+notes&date=now+7-d&geo=US,+600%,217,Franchise,2024-10-03
Warhammer,3,Warhammer space marine 2 patch notes,https://trends.google.ca/trends/explore?q=warhammer+space+marine+2+patch+notes&date=now+7-d&geo=US,+500%,217,Franchise,2024-10-03
Warhammer,4,Warhammer patch notes,https://trends.google.ca/trends/explore?q=warhammer+patch+notes&date=now+7-d&geo=US,+350%,217,Franchise,2024-10-03
Warhammer,5,Warhammer 40k space marine 2 update,https://trends.google.ca/trends/explore?q=warhammer+40k+space+marine+2+update&date=now+7-d&geo=US,+250%,217,Franchise,2024-10-03
Warhammer,6,Risk warhammer 40k,https://trends.google.ca/trends/explore?q=risk+warhammer+40k&date=now+7-d&geo=US,+250%,217,Franchise,2024-10-03
Warhammer,7,Warhammer space marine 2 update,https://trends.google.ca/trends/explore?q=warhammer+space+marine+2+update&date=now+7-d&geo=US,+200%,217,Franchise,2024-10-03
Warhammer,8,Daemonculaba warhammer,https://trends.google.ca/trends/explore?q=daemonculaba+warhammer&date=now+7-d&geo=US,+200%,217,Franchise,2024-10-03
Warhammer,9,Daemonculaba,https://trends.google.ca/trends/explore?q=daemonculaba&date=now+7-d&geo=US,+190%,217,Franchise,2024-10-03
Warhammer,10,Warhammer update,https://trends.google.ca/trends/explore?q=warhammer+update&date=now+7-d&geo=US,+130%,217,Franchise,2024-10-03
Warhammer,11,Warhammer day 2024,https://trends.google.ca/trends/explore?q=warhammer+day+2024&date=now+7-d&geo=US,+120%,217,Franchise,2024-10-03
Warhammer,12,Warhammer 40k daemonculaba,https://trends.google.ca/trends/explore?q=warhammer+40k+daemonculaba&date=now+7-d&geo=US,+110%,217,Franchise,2024-10-03
Warhammer,13,Warhammer 40k rogue trader,https://trends.google.ca/trends/explore?q=warhammer+40k+rogue+trader&date=now+7-d&geo=US,+90%,217,Franchise,2024-10-03
Warhammer,14,Warhammer rogue trader,https://trends.google.ca/trends/explore?q=warhammer+rogue+trader&date=now+7-d&geo=US,+90%,217,Franchise,2024-10-03
Warhammer,15,Rogue trader,https://trends.google.ca/trends/explore?q=rogue+trader&date=now+7-d&geo=US,+80%,217,Franchise,2024-10-03
Warhammer,16,Warhammer community,https://trends.google.ca/trends/explore?q=warhammer+community&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-03
Warhammer,17,Warhammer day,https://trends.google.ca/trends/explore?q=warhammer+day&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-03
Warhammer,18,Warhammer 40k darktide,https://trends.google.ca/trends/explore?q=warhammer+40k+darktide&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-03
Warhammer,19,Warhammer servitor,https://trends.google.ca/trends/explore?q=warhammer+servitor&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-03
Warhammer,20,Warhammer darktide,https://trends.google.ca/trends/explore?q=warhammer+darktide&date=now+7-d&geo=US,+50%,217,Franchise,2024-10-03
