Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
What We Do in the Shadows,1,Nadja doll,https://trends.google.ca/trends/explore?q=nadja+doll&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
What We Do in the Shadows,2,Over the garden wall,https://trends.google.ca/trends/explore?q=over+the+garden+wall&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
What We Do in the Shadows,3,Lazlo from what we do in the shadows,https://trends.google.ca/trends/explore?q=lazlo+from+what+we+do+in+the+shadows&date=now+1-d&geo=US,Breakout,216,TV Show,2024-10-02
What We Do in the Shadows,4,Petyr what we do in the shadows,https://trends.google.ca/trends/explore?q=petyr+what+we+do+in+the+shadows&date=now+1-d&geo=US,+300%,216,TV Show,2024-10-02
What We Do in the Shadows,5,Laszlo what we do in the shadows quotes,https://trends.google.ca/trends/explore?q=laszlo+what+we+do+in+the+shadows+quotes&date=now+1-d&geo=US,+250%,216,TV Show,2024-10-02
What We Do in the Shadows,6,Beanie feldstein,https://trends.google.ca/trends/explore?q=beanie+feldstein&date=now+1-d&geo=US,+140%,216,TV Show,2024-10-02
What We Do in the Shadows,7,Jackie daytona,https://trends.google.ca/trends/explore?q=jackie+daytona&date=now+1-d&geo=US,+120%,216,TV Show,2024-10-02
What We Do in the Shadows,8,Only murders in the building,https://trends.google.ca/trends/explore?q=only+murders+in+the+building&date=now+1-d&geo=US,+80%,216,TV Show,2024-10-02
What We Do in the Shadows,9,Wellington paranormal,https://trends.google.ca/trends/explore?q=wellington+paranormal&date=now+1-d&geo=US,+80%,216,TV Show,2024-10-02
What We Do in the Shadows,10,Agatha all along,https://trends.google.ca/trends/explore?q=agatha+all+along&date=now+1-d&geo=US,+60%,216,TV Show,2024-10-02
What We Do in the Shadows,11,Jemaine clement,https://trends.google.ca/trends/explore?q=jemaine+clement&date=now+1-d&geo=US,+60%,216,TV Show,2024-10-02
What We Do in the Shadows,12,What we do in the shadows 2014,https://trends.google.ca/trends/explore?q=what+we+do+in+the+shadows+2014&date=now+1-d&geo=US,+60%,216,TV Show,2024-10-02
What We Do in the Shadows,13,The guide what we do in the shadows,https://trends.google.ca/trends/explore?q=the+guide+what+we+do+in+the+shadows&date=now+1-d&geo=US,+50%,216,TV Show,2024-10-02
What We Do in the Shadows,14,Taika waititi,https://trends.google.ca/trends/explore?q=taika+waititi&date=now+1-d&geo=US,+50%,216,TV Show,2024-10-02
What We Do in the Shadows,15,Is what we do in the shadows over,https://trends.google.ca/trends/explore?q=is+what+we+do+in+the+shadows+over&date=now+1-d&geo=US,+40%,216,TV Show,2024-10-02
