Query,Line Number,Seed,Link,Rising Value,Date
 Whiplash,1,Whiplash runtime,https://trends.google.ca/trends/explore?q=whiplash+runtime&date=now+7-d&geo=CA,Breakout,2024-09-26
 Whiplash,2,Landmark cinemas,https://trends.google.ca/trends/explore?q=landmark+cinemas&date=now+7-d&geo=CA,Breakout,2024-09-26
 Whiplash,3,Is whiplash on netflix,https://trends.google.ca/trends/explore?q=is+whiplash+on+netflix&date=now+7-d&geo=CA,Breakout,2024-09-26
 Whiplash,4,Whiplash traduction,https://trends.google.ca/trends/explore?q=whiplash+traduction&date=now+7-d&geo=CA,Breakout,2024-09-26
 Whiplash,5,500 days of summer,https://trends.google.ca/trends/explore?q=500+days+of+summer&date=now+7-d&geo=CA,Breakout,2024-09-26
 Whiplash,6,Emotional whiplash meaning,https://trends.google.ca/trends/explore?q=emotional+whiplash+meaning&date=now+7-d&geo=CA,Breakout,2024-09-26
 Whiplash,7,Isaak presley,https://trends.google.ca/trends/explore?q=isaak+presley&date=now+7-d&geo=CA,Breakout,2024-09-26
 Whiplash,8,Ultrakill whiplash,https://trends.google.ca/trends/explore?q=ultrakill+whiplash&date=now+7-d&geo=CA,Breakout,2024-09-26
 Whiplash,9,Whiplash common sense media,https://trends.google.ca/trends/explore?q=whiplash+common+sense+media&date=now+7-d&geo=CA,Breakout,2024-09-26
 Whiplash,10,Ending of whiplash explained,https://trends.google.ca/trends/explore?q=ending+of+whiplash+explained&date=now+7-d&geo=CA,Breakout,2024-09-26
 Whiplash,11,Goodfellas,https://trends.google.ca/trends/explore?q=goodfellas&date=now+7-d&geo=CA,Breakout,2024-09-26
 Whiplash,12,Movies in theatre,https://trends.google.ca/trends/explore?q=movies+in+theatre&date=now+7-d&geo=CA,Breakout,2024-09-26
 Whiplash,13,Whiplash movie length,https://trends.google.ca/trends/explore?q=whiplash+movie+length&date=now+7-d&geo=CA,Breakout,2024-09-26
 Whiplash,14,Alien,https://trends.google.ca/trends/explore?q=alien&date=now+7-d&geo=CA,Breakout,2024-09-26
 Whiplash,15,Julia roberts,https://trends.google.ca/trends/explore?q=julia+roberts&date=now+7-d&geo=CA,Breakout,2024-09-26
 Whiplash,16,The shining,https://trends.google.ca/trends/explore?q=the+shining&date=now+7-d&geo=CA,Breakout,2024-09-26
 Whiplash,17,Alien romulus,https://trends.google.ca/trends/explore?q=alien+romulus&date=now+7-d&geo=CA,Breakout,2024-09-26
 Whiplash,18,Snidely whiplash dog,https://trends.google.ca/trends/explore?q=snidely+whiplash+dog&date=now+7-d&geo=CA,Breakout,2024-09-26
 Whiplash,19,Whiplash symptoms and treatment,https://trends.google.ca/trends/explore?q=whiplash+symptoms+and+treatment&date=now+7-d&geo=CA,Breakout,2024-09-26
 Whiplash,20,Aespa whiplash,https://trends.google.ca/trends/explore?q=aespa+whiplash&date=now+7-d&geo=CA,+350%,2024-09-26
 Whiplash,21,The substance,https://trends.google.ca/trends/explore?q=the+substance&date=now+7-d&geo=CA,+200%,2024-09-26
 Whiplash,22,Whiplash showtimes,https://trends.google.ca/trends/explore?q=whiplash+showtimes&date=now+7-d&geo=CA,+200%,2024-09-26
 Whiplash,23,Jk simmons whiplash,https://trends.google.ca/trends/explore?q=jk+simmons+whiplash&date=now+7-d&geo=CA,+130%,2024-09-26
 Whiplash,24,Whiplash 2024,https://trends.google.ca/trends/explore?q=whiplash+2024&date=now+7-d&geo=CA,+90%,2024-09-26
 Whiplash,25,Jk simmons,https://trends.google.ca/trends/explore?q=jk+simmons&date=now+7-d&geo=CA,+90%,2024-09-26
