Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Willow,1,Sarah mclachlan,https://trends.google.ca/trends/explore?q=sarah+mclachlan&date=now+7-d&geo=US,"+1,600%",154,Movie,2024-10-03
Willow,2,Emerald cove willow beach,https://trends.google.ca/trends/explore?q=emerald+cove+willow+beach&date=now+7-d&geo=US,+300%,154,Movie,2024-10-03
Willow,3,How tall is willow smith,https://trends.google.ca/trends/explore?q=how+tall+is+willow+smith&date=now+7-d&geo=US,+250%,154,Movie,2024-10-03
Willow,4,Twig and willow,https://trends.google.ca/trends/explore?q=twig+and+willow&date=now+7-d&geo=US,+180%,154,Movie,2024-10-03
Willow,5,Willow smith height,https://trends.google.ca/trends/explore?q=willow+smith+height&date=now+7-d&geo=US,+120%,154,Movie,2024-10-03
Willow,6,Willow valley resort,https://trends.google.ca/trends/explore?q=willow+valley+resort&date=now+7-d&geo=US,+110%,154,Movie,2024-10-03
Willow,7,Fog willow,https://trends.google.ca/trends/explore?q=fog+willow&date=now+7-d&geo=US,+90%,154,Movie,2024-10-03
Willow,8,Fog willow farms,https://trends.google.ca/trends/explore?q=fog+willow+farms&date=now+7-d&geo=US,+90%,154,Movie,2024-10-03
Willow,9,Leaf sheep,https://trends.google.ca/trends/explore?q=leaf+sheep&date=now+7-d&geo=US,+80%,154,Movie,2024-10-03
Willow,10,Willow smith p diddy,https://trends.google.ca/trends/explore?q=willow+smith+p+diddy&date=now+7-d&geo=US,+70%,154,Movie,2024-10-03
Willow,11,Willow green apartments,https://trends.google.ca/trends/explore?q=willow+green+apartments&date=now+7-d&geo=US,+70%,154,Movie,2024-10-03
Willow,12,Willow smith diddy,https://trends.google.ca/trends/explore?q=willow+smith+diddy&date=now+7-d&geo=US,+70%,154,Movie,2024-10-03
Willow,13,Willow winters books,https://trends.google.ca/trends/explore?q=willow+winters+books&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
Willow,14,Willow smith and diddy,https://trends.google.ca/trends/explore?q=willow+smith+and+diddy&date=now+7-d&geo=US,+60%,154,Movie,2024-10-03
Willow,15,Willow smith,https://trends.google.ca/trends/explore?q=willow+smith&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
Willow,16,Willow singer,https://trends.google.ca/trends/explore?q=willow+singer&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
Willow,17,Aqui willow glen,https://trends.google.ca/trends/explore?q=aqui+willow+glen&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
Willow,18,Willow charter academy,https://trends.google.ca/trends/explore?q=willow+charter+academy&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
Willow,19,The shops at willow bend,https://trends.google.ca/trends/explore?q=the+shops+at+willow+bend&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
Willow,20,Jada pinkett smith,https://trends.google.ca/trends/explore?q=jada+pinkett+smith&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
Willow,21,Willow springs nc,https://trends.google.ca/trends/explore?q=willow+springs+nc&date=now+7-d&geo=US,+40%,154,Movie,2024-10-03
