Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
X-Men,1,Pryde of the x-men,https://trends.google.ca/trends/explore?q=pryde+of+the+x-men&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
X-Men,2,Is it better to watch x-men in chronological order,https://trends.google.ca/trends/explore?q=is+it+better+to+watch+x-men+in+chronological+order&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
X-Men,3,Elliot page,https://trends.google.ca/trends/explore?q=elliot+page&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
X-Men,4,X-men apocalypse jean grey actress,https://trends.google.ca/trends/explore?q=x-men+apocalypse+jean+grey+actress&date=now+1-d&geo=US,Breakout,217,Franchise,2024-10-02
X-Men,5,Deadpool 3,https://trends.google.ca/trends/explore?q=deadpool+3&date=now+1-d&geo=US,+250%,217,Franchise,2024-10-02
X-Men,6,X-men #5,https://trends.google.ca/trends/explore?q=x-men+%235&date=now+1-d&geo=US,+170%,217,Franchise,2024-10-02
X-Men,7,Ryan reynolds,https://trends.google.ca/trends/explore?q=ryan+reynolds&date=now+1-d&geo=US,+160%,217,Franchise,2024-10-02
X-Men,8,Lego x-men mansion,https://trends.google.ca/trends/explore?q=lego+x-men+mansion&date=now+1-d&geo=US,+140%,217,Franchise,2024-10-02
X-Men,9,Fantastic four,https://trends.google.ca/trends/explore?q=fantastic+four&date=now+1-d&geo=US,+120%,217,Franchise,2024-10-02
X-Men,10,James marsden,https://trends.google.ca/trends/explore?q=james+marsden&date=now+1-d&geo=US,+90%,217,Franchise,2024-10-02
X-Men,11,X men comics,https://trends.google.ca/trends/explore?q=x+men+comics&date=now+1-d&geo=US,+90%,217,Franchise,2024-10-02
X-Men,12,Storm costume,https://trends.google.ca/trends/explore?q=storm+costume&date=now+1-d&geo=US,+80%,217,Franchise,2024-10-02
X-Men,13,X-men movies in order of release,https://trends.google.ca/trends/explore?q=x-men+movies+in+order+of+release&date=now+1-d&geo=US,+80%,217,Franchise,2024-10-02
X-Men,14,Spirit halloween,https://trends.google.ca/trends/explore?q=spirit+halloween&date=now+1-d&geo=US,+70%,217,Franchise,2024-10-02
X-Men,15,Magneto,https://trends.google.ca/trends/explore?q=magneto&date=now+1-d&geo=US,+60%,217,Franchise,2024-10-02
X-Men,16,X men apocalypse cast,https://trends.google.ca/trends/explore?q=x+men+apocalypse+cast&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
X-Men,17,Watch x-men 2000,https://trends.google.ca/trends/explore?q=watch+x-men+2000&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
X-Men,18,X-men beast,https://trends.google.ca/trends/explore?q=x-men+beast&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
X-Men,19,X-men logo,https://trends.google.ca/trends/explore?q=x-men+logo&date=now+1-d&geo=US,+50%,217,Franchise,2024-10-02
X-Men,20,Jennifer lawrence,https://trends.google.ca/trends/explore?q=jennifer+lawrence&date=now+1-d&geo=US,+40%,217,Franchise,2024-10-02
X-Men,21,X-men characters,https://trends.google.ca/trends/explore?q=x-men+characters&date=now+1-d&geo=US,+40%,217,Franchise,2024-10-02
