Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Yakuza,1,Yakuza pearl implants,https://trends.google.ca/trends/explore?q=yakuza+pearl+implants&date=now+7-d&geo=US,"+1,150%",217,Franchise,2024-10-03
Yakuza,2,Sera yakuza,https://trends.google.ca/trends/explore?q=sera+yakuza&date=now+7-d&geo=US,+300%,217,Franchise,2024-10-03
Yakuza,3,Yakuza pearls,https://trends.google.ca/trends/explore?q=yakuza+pearls&date=now+7-d&geo=US,+250%,217,Franchise,2024-10-03
Yakuza,4,Like a dragon yakuza prime,https://trends.google.ca/trends/explore?q=like+a+dragon+yakuza+prime&date=now+7-d&geo=US,+190%,217,Franchise,2024-10-03
Yakuza,5,Nishida yakuza,https://trends.google.ca/trends/explore?q=nishida+yakuza&date=now+7-d&geo=US,+180%,217,Franchise,2024-10-03
Yakuza,6,Jared leto yakuza movie,https://trends.google.ca/trends/explore?q=jared+leto+yakuza+movie&date=now+7-d&geo=US,+170%,217,Franchise,2024-10-03
Yakuza,7,Seonhee yakuza,https://trends.google.ca/trends/explore?q=seonhee+yakuza&date=now+7-d&geo=US,+120%,217,Franchise,2024-10-03
Yakuza,8,Yakuza kiwami 2 mods,https://trends.google.ca/trends/explore?q=yakuza+kiwami+2+mods&date=now+7-d&geo=US,+120%,217,Franchise,2024-10-03
Yakuza,9,Mirror face yakuza,https://trends.google.ca/trends/explore?q=mirror+face+yakuza&date=now+7-d&geo=US,+110%,217,Franchise,2024-10-03
Yakuza,10,Yakuza 3 revelations,https://trends.google.ca/trends/explore?q=yakuza+3+revelations&date=now+7-d&geo=US,+100%,217,Franchise,2024-10-03
Yakuza,11,Yumi yakuza,https://trends.google.ca/trends/explore?q=yumi+yakuza&date=now+7-d&geo=US,+100%,217,Franchise,2024-10-03
Yakuza,12,Yakuza like a dragon best jobs,https://trends.google.ca/trends/explore?q=yakuza+like+a+dragon+best+jobs&date=now+7-d&geo=US,+90%,217,Franchise,2024-10-03
Yakuza,13,Yakuza 4 substories,https://trends.google.ca/trends/explore?q=yakuza+4+substories&date=now+7-d&geo=US,+90%,217,Franchise,2024-10-03
Yakuza,14,Takaya kuroda,https://trends.google.ca/trends/explore?q=takaya+kuroda&date=now+7-d&geo=US,+80%,217,Franchise,2024-10-03
Yakuza,15,Ebina yakuza,https://trends.google.ca/trends/explore?q=ebina+yakuza&date=now+7-d&geo=US,+80%,217,Franchise,2024-10-03
Yakuza,16,Yakuza 0 electronics king properties,https://trends.google.ca/trends/explore?q=yakuza+0+electronics+king+properties&date=now+7-d&geo=US,+80%,217,Franchise,2024-10-03
Yakuza,17,Yakuza amazon prime,https://trends.google.ca/trends/explore?q=yakuza+amazon+prime&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
Yakuza,18,Ryoma takeuchi,https://trends.google.ca/trends/explore?q=ryoma+takeuchi&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
Yakuza,19,Yakuza tattoo meanings,https://trends.google.ca/trends/explore?q=yakuza+tattoo+meanings&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
Yakuza,20,Yakuza like a dragon best weapons,https://trends.google.ca/trends/explore?q=yakuza+like+a+dragon+best+weapons&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
Yakuza,21,Yakuza tv series,https://trends.google.ca/trends/explore?q=yakuza+tv+series&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
Yakuza,22,Kson,https://trends.google.ca/trends/explore?q=kson&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
Yakuza,23,Yakuza like a dragon walkthrough,https://trends.google.ca/trends/explore?q=yakuza+like+a+dragon+walkthrough&date=now+7-d&geo=US,+70%,217,Franchise,2024-10-03
Yakuza,24,Yakuza like a dragon movie,https://trends.google.ca/trends/explore?q=yakuza+like+a+dragon+movie&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-03
Yakuza,25,Yakuza show,https://trends.google.ca/trends/explore?q=yakuza+show&date=now+7-d&geo=US,+60%,217,Franchise,2024-10-03
