Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Yellowstone,1,Yellowjackets cast,https://trends.google.ca/trends/explore?q=yellowjackets+cast&date=now+1-d&geo=US,+700%,216,TV Show,2024-10-02
Yellowstone,2,Yellowjackets,https://trends.google.ca/trends/explore?q=yellowjackets&date=now+1-d&geo=US,+300%,216,TV Show,2024-10-02
Yellowstone,3,Wilford brimley yellowstone,https://trends.google.ca/trends/explore?q=wilford+brimley+yellowstone&date=now+1-d&geo=US,+250%,216,TV Show,2024-10-02
Yellowstone,4,Gil birmingham,https://trends.google.ca/trends/explore?q=gil+birmingham&date=now+1-d&geo=US,+250%,216,TV Show,2024-10-02
Yellowstone,5,Is kevin costner returning to yellowstone,https://trends.google.ca/trends/explore?q=is+kevin+costner+returning+to+yellowstone&date=now+1-d&geo=US,+200%,216,TV Show,2024-10-02
Yellowstone,6,Tanaya beatty,https://trends.google.ca/trends/explore?q=tanaya+beatty&date=now+1-d&geo=US,+190%,216,TV Show,2024-10-02
Yellowstone,7,Yellowstone series in order,https://trends.google.ca/trends/explore?q=yellowstone+series+in+order&date=now+1-d&geo=US,+120%,216,TV Show,2024-10-02
Yellowstone,8,Yellowjackets season 3,https://trends.google.ca/trends/explore?q=yellowjackets+season+3&date=now+1-d&geo=US,+110%,216,TV Show,2024-10-02
Yellowstone,9,Mayor of kingstown,https://trends.google.ca/trends/explore?q=mayor+of+kingstown&date=now+1-d&geo=US,+100%,216,TV Show,2024-10-02
Yellowstone,10,Yellowstone spin off shows,https://trends.google.ca/trends/explore?q=yellowstone+spin+off+shows&date=now+1-d&geo=US,+100%,216,TV Show,2024-10-02
Yellowstone,11,Yellowstone bear world,https://trends.google.ca/trends/explore?q=yellowstone+bear+world&date=now+1-d&geo=US,+80%,216,TV Show,2024-10-02
Yellowstone,12,Grand prismatic spring,https://trends.google.ca/trends/explore?q=grand+prismatic+spring&date=now+1-d&geo=US,+70%,216,TV Show,2024-10-02
Yellowstone,13,Yellowstone geyser explosion,https://trends.google.ca/trends/explore?q=yellowstone+geyser+explosion&date=now+1-d&geo=US,+70%,216,TV Show,2024-10-02
Yellowstone,14,Yellowstone wardens,https://trends.google.ca/trends/explore?q=yellowstone+wardens&date=now+1-d&geo=US,+70%,216,TV Show,2024-10-02
Yellowstone,15,Does rip die in yellowstone,https://trends.google.ca/trends/explore?q=does+rip+die+in+yellowstone&date=now+1-d&geo=US,+70%,216,TV Show,2024-10-02
Yellowstone,16,Yellowstone new season 2024,https://trends.google.ca/trends/explore?q=yellowstone+new+season+2024&date=now+1-d&geo=US,+60%,216,TV Show,2024-10-02
Yellowstone,17,Yellowstone national park news,https://trends.google.ca/trends/explore?q=yellowstone+national+park+news&date=now+1-d&geo=US,+60%,216,TV Show,2024-10-02
Yellowstone,18,Yellowstone volcano eruption date,https://trends.google.ca/trends/explore?q=yellowstone+volcano+eruption+date&date=now+1-d&geo=US,+60%,216,TV Show,2024-10-02
Yellowstone,19,Yellowstone county jail roster,https://trends.google.ca/trends/explore?q=yellowstone+county+jail+roster&date=now+1-d&geo=US,+60%,216,TV Show,2024-10-02
Yellowstone,20,Eden brolin,https://trends.google.ca/trends/explore?q=eden+brolin&date=now+1-d&geo=US,+50%,216,TV Show,2024-10-02
Yellowstone,21,Yellowstone national park photos,https://trends.google.ca/trends/explore?q=yellowstone+national+park+photos&date=now+1-d&geo=US,+50%,216,TV Show,2024-10-02
Yellowstone,22,How many seasons of yellowstone are there,https://trends.google.ca/trends/explore?q=how+many+seasons+of+yellowstone+are+there&date=now+1-d&geo=US,+50%,216,TV Show,2024-10-02
Yellowstone,23,Yellowstone elevation,https://trends.google.ca/trends/explore?q=yellowstone+elevation&date=now+1-d&geo=US,+50%,216,TV Show,2024-10-02
