Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Young Justice,1,Adrienne nicole young,https://trends.google.ca/trends/explore?q=adrienne+nicole+young&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Young Justice,2,Andrew fink,https://trends.google.ca/trends/explore?q=andrew+fink&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Young Justice,3,Matthew ackerman,https://trends.google.ca/trends/explore?q=matthew+ackerman&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Young Justice,4,Justice haynes,https://trends.google.ca/trends/explore?q=justice+haynes&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Young Justice,5,Randy j wallace,https://trends.google.ca/trends/explore?q=randy+j+wallace&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Young Justice,6,Will harper young justice,https://trends.google.ca/trends/explore?q=will+harper+young+justice&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Young Justice,7,Latoya marie willis,https://trends.google.ca/trends/explore?q=latoya+marie+willis&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Young Justice,8,Troy baker,https://trends.google.ca/trends/explore?q=troy+baker&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Young Justice,9,Colbie young,https://trends.google.ca/trends/explore?q=colbie+young&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Young Justice,10,Wendy harris young justice,https://trends.google.ca/trends/explore?q=wendy+harris+young+justice&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Young Justice,11,Michel lyman young justice,https://trends.google.ca/trends/explore?q=michel+lyman+young+justice&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
Young Justice,12,Kimberly ann thomas,https://trends.google.ca/trends/explore?q=kimberly+ann+thomas&date=now+7-d&geo=US,+450%,216,TV Show,2024-10-03
Young Justice,13,Does superboy die in young justice,https://trends.google.ca/trends/explore?q=does+superboy+die+in+young+justice&date=now+7-d&geo=US,+400%,216,TV Show,2024-10-03
Young Justice,14,Kyra harris bolden,https://trends.google.ca/trends/explore?q=kyra+harris+bolden&date=now+7-d&geo=US,+400%,216,TV Show,2024-10-03
Young Justice,15,W morgan sheppard young justice,https://trends.google.ca/trends/explore?q=w+morgan+sheppard+young+justice&date=now+7-d&geo=US,+350%,216,TV Show,2024-10-03
Young Justice,16,Will harper,https://trends.google.ca/trends/explore?q=will+harper&date=now+7-d&geo=US,+190%,216,TV Show,2024-10-03
Young Justice,17,Watch young justice online free,https://trends.google.ca/trends/explore?q=watch+young+justice+online+free&date=now+7-d&geo=US,+150%,216,TV Show,2024-10-03
Young Justice,18,Zatanna,https://trends.google.ca/trends/explore?q=zatanna&date=now+7-d&geo=US,+40%,216,TV Show,2024-10-03
