Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
Young Sheldon,1,Who played veronica on young sheldon,https://trends.google.ca/trends/explore?q=who+played+veronica+on+young+sheldon&date=now+7-d&geo=US,+250%,216,TV Show,2024-10-03
Young Sheldon,2,Young sheldon coach,https://trends.google.ca/trends/explore?q=young+sheldon+coach&date=now+7-d&geo=US,+200%,216,TV Show,2024-10-03
Young Sheldon,3,Young sheldon cast veronica,https://trends.google.ca/trends/explore?q=young+sheldon+cast+veronica&date=now+7-d&geo=US,+170%,216,TV Show,2024-10-03
Young Sheldon,4,Young sheldon phone number,https://trends.google.ca/trends/explore?q=young+sheldon+phone+number&date=now+7-d&geo=US,+130%,216,TV Show,2024-10-03
Young Sheldon,5,Young sheldon characters,https://trends.google.ca/trends/explore?q=young+sheldon+characters&date=now+7-d&geo=US,+120%,216,TV Show,2024-10-03
Young Sheldon,6,Young sheldon college president,https://trends.google.ca/trends/explore?q=young+sheldon+college+president&date=now+7-d&geo=US,+120%,216,TV Show,2024-10-03
Young Sheldon,7,Wendie malick,https://trends.google.ca/trends/explore?q=wendie+malick&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-03
Young Sheldon,8,Characters in young sheldon,https://trends.google.ca/trends/explore?q=characters+in+young+sheldon&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-03
Young Sheldon,9,Wendie malick young sheldon,https://trends.google.ca/trends/explore?q=wendie+malick+young+sheldon&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-03
Young Sheldon,10,How old is missy from young sheldon,https://trends.google.ca/trends/explore?q=how+old+is+missy+from+young+sheldon&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-03
Young Sheldon,11,Young sheldon grandma,https://trends.google.ca/trends/explore?q=young+sheldon+grandma&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-03
Young Sheldon,12,The incredibles,https://trends.google.ca/trends/explore?q=the+incredibles&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-03
Young Sheldon,13,Wallace shawn movies and tv shows,https://trends.google.ca/trends/explore?q=wallace+shawn+movies+and+tv+shows&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-03
Young Sheldon,14,Young sheldon professor,https://trends.google.ca/trends/explore?q=young+sheldon+professor&date=now+7-d&geo=US,+70%,216,TV Show,2024-10-03
Young Sheldon,15,Professor from young sheldon,https://trends.google.ca/trends/explore?q=professor+from+young+sheldon&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
Young Sheldon,16,Young sheldon mom,https://trends.google.ca/trends/explore?q=young+sheldon+mom&date=now+7-d&geo=US,+60%,216,TV Show,2024-10-03
Young Sheldon,17,Billy from young sheldon,https://trends.google.ca/trends/explore?q=billy+from+young+sheldon&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
Young Sheldon,18,Ed begley jr,https://trends.google.ca/trends/explore?q=ed+begley+jr&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
Young Sheldon,19,Young sheldon dr sturgis,https://trends.google.ca/trends/explore?q=young+sheldon+dr+sturgis&date=now+7-d&geo=US,+50%,216,TV Show,2024-10-03
Young Sheldon,20,How many seasons does young sheldon have,https://trends.google.ca/trends/explore?q=how+many+seasons+does+young+sheldon+have&date=now+7-d&geo=US,+40%,216,TV Show,2024-10-03
Young Sheldon,21,What year is young sheldon set in,https://trends.google.ca/trends/explore?q=what+year+is+young+sheldon+set+in&date=now+7-d&geo=US,+40%,216,TV Show,2024-10-03
