Link,Label Text,Rising Value,Line Number
/trends/explore?q=aperture+stiletto+valorant&date=now+7-d&geo=CA,aperture stiletto valorant,Breakout,1
/trends/explore?q=valorant+0.1+kbs&date=now+7-d&geo=CA,valorant 0.1 kbs,Breakout,2
/trends/explore?q=nats+valorant&date=now+7-d&geo=CA,nats valorant,Breakout,3
/trends/explore?q=ares+buff+valorant&date=now+7-d&geo=CA,ares buff valorant,Breakout,4
/trends/explore?q=aperture+valorant&date=now+7-d&geo=CA,aperture valorant,"+3,150%",5
/trends/explore?q=aperture+stiletto+valorant&date=now+7-d&geo=CA,aperture stiletto valorant,Breakout,1
/trends/explore?q=valorant+0.1+kbs&date=now+7-d&geo=CA,valorant 0.1 kbs,Breakout,2
/trends/explore?q=nats+valorant&date=now+7-d&geo=CA,nats valorant,Breakout,3
/trends/explore?q=ares+buff+valorant&date=now+7-d&geo=CA,ares buff valorant,Breakout,4
/trends/explore?q=aperture+valorant&date=now+7-d&geo=CA,aperture valorant,"+3,150%",5
/trends/explore?q=valorant+stiletto&date=now+7-d&geo=CA,valorant stiletto,"+1,500%",6
/trends/explore?q=valorant+maintenance&date=now+7-d&geo=CA,valorant maintenance,"+1,350%",7
/trends/explore?q=m80+valorant&date=now+7-d&geo=CA,m80 valorant,+700%,8
/trends/explore?q=valorant+ascension&date=now+7-d&geo=CA,valorant ascension,+450%,9
/trends/explore?q=new+valorant+update&date=now+7-d&geo=CA,new valorant update,+450%,10
/trends/explore?q=valorant+update+0.1kb/s&date=now+7-d&geo=CA,valorant update 0.1kb/s,+400%,11
/trends/explore?q=sacy+valorant&date=now+7-d&geo=CA,sacy valorant,+350%,12
/trends/explore?q=valorant+new+patch&date=now+7-d&geo=CA,valorant new patch,+300%,13
/trends/explore?q=valorant+update&date=now+7-d&geo=CA,valorant update,+300%,14
/trends/explore?q=valorant+patch+notes&date=now+7-d&geo=CA,valorant patch notes,+250%,15
/trends/explore?q=valorant+patch+notes+9.05&date=now+7-d&geo=CA,valorant patch notes 9.05,+250%,16
/trends/explore?q=valorant+patch&date=now+7-d&geo=CA,valorant patch,+190%,17
/trends/explore?q=tenz&date=now+7-d&geo=CA,tenz,+190%,18
/trends/explore?q=new+valorant+bundle&date=now+7-d&geo=CA,new valorant bundle,+190%,19
/trends/explore?q=tenz+valorant&date=now+7-d&geo=CA,tenz valorant,+170%,20
